Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-30.19, -48.83, -7236, -10832, 6126 , 3145, -4235, 10382
-31.83, -47.31, -7760, -10814, 6284 , 3072, -4458, 10059
-32.71, -46.02, -8100, -10786, 6550 , 2896, -4584, 9812
-32.99, -45.25, -8156, -10638, 6698 , 2693, -4766, 9635
-32.54, -45.26, -7930, -10472, 6706 , 2462, -4964, 9548
-31.85, -45.06, -7688, -10314, 6856 , 2241, -5276, 9594
-30.45, -45.12, -7300, -10208, 7086 , 2029, -5708, 9669
-29.27, -45.23, -6894, -10010, 7158 , 1800, -6168, 9831
-28.50, -45.46, -6686, -9988, 7214 , 1595, -6769, 9981
-28.88, -45.42, -6724, -9918, 7102 , 1430, -7303, 10100
-28.77, -45.82, -6680, -9956, 7008 , 1286, -7764, 10152
-29.07, -45.69, -6786, -9996, 7022 , 1104, -8039, 10132
-29.57, -45.46, -6948, -10036, 7030 , 912, -8150, 10031
-29.47, -45.45, -6922, -10026, 7048 , 694, -8062, 9870
-28.88, -45.93, -6676, -9932, 6932 , 494, -7746, 9689
-28.08, -46.75, -6328, -9792, 6706 , 368, -7140, 9514
-27.02, -47.56, -5948, -9664, 6546 , 243, -6464, 9299
-25.11, -48.08, -5386, -9444, 6560 , 128, -5870, 9049
-24.24, -48.25, -5050, -9176, 6458 , 23, -5358, 8826
-23.32, -48.27, -4798, -9048, 6496 , -14, -4960, 8612
-24.15, -47.07, -5032, -9006, 6706 , 6, -4816, 8426
-24.64, -44.45, -5248, -8814, 7302 , -45, -4662, 8138
-25.93, -42.45, -5566, -8594, 7576 , -311, -4282, 7900
-28.25, -42.00, -6224, -8800, 7546 , -505, -4137, 7601
-30.16, -42.07, -6714, -8954, 7314 , -550, -4121, 7244
-31.47, -41.84, -7102, -9076, 7244 , -495, -4101, 6826
-31.84, -41.73, -7336, -9256, 7352 , -463, -4048, 6498
-31.64, -41.70, -7378, -9358, 7486 , -518, -3901, 6194
-31.53, -41.96, -7222, -9234, 7310 , -655, -3732, 5960
-30.99, -42.41, -6906, -9046, 7108 , -837, -3484, 5797
-30.91, -42.75, -6688, -8838, 6844 , -982, -3275, 5746
-30.81, -42.55, -6570, -8674, 6800 , -1133, -3211, 5746
-31.63, -41.33, -6758, -8510, 6936 , -1284, -3175, 5693
-32.04, -40.22, -6896, -8394, 7148 , -1437, -3074, 5607
-33.38, -38.30, -7244, -8160, 7378 , -1557, -2840, 5444
-33.92, -37.23, -7558, -8194, 7702 , -1725, -2585, 5163
-34.50, -36.93, -7826, -8302, 7806 , -1898, -2324, 4834
-35.14, -37.69, -8036, -8536, 7592 , -2039, -1997, 4488
-36.13, -38.67, -8236, -8728, 7162 , -2144, -1780, 4093
-35.95, -38.74, -8300, -8848, 7272 , -2203, -1730, 3646
-35.14, -38.18, -8148, -8752, 7592 , -2339, -1936, 3271
-35.17, -37.61, -8024, -8500, 7586 , -2476, -2186, 2910
