Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-7.64, -76.51, -1764, -12902, 2554 , -2224, 13481, -1508
-8.99, -75.82, -2260, -14020, 2740 , -2879, 12893, -1516
-10.66, -76.80, -2962, -15588, 2164 , -3229, 12244, -1388
-10.32, -79.03, -3278, -17970, 1218 , -3253, 11557, -1127
-9.37, -80.60, -3262, -19776, 418 , -2940, 10754, -656
-8.94, -81.10, -3304, -21006, 96 , -2434, 9887, 165
-9.45, -80.57, -3634, -21836, 268 , -1987, 8884, 1005
-10.45, -79.54, -4124, -22358, 414 , -1601, 8238, 1801
-11.07, -78.86, -4396, -22478, 654 , -1357, 8157, 2678
-11.12, -78.86, -4284, -21798, 468 , -997, 8210, 3367
-10.31, -79.65, -3726, -20478, -474 , -593, 8703, 3836
-8.38, -81.47, -2798, -18996, -614 , -257, 9324, 4011
-5.56, -84.48, -1684, -17320, -90 , -86, 9528, 3921
-2.07, -86.79, -580, -16008, 700 , -67, 9348, 3597
0.59, -83.59, 156, -15090, 1700 , -161, 8568, 3096
4.38, -79.28, 1122, -14442, 2504 , -451, 8015, 2623
7.08, -78.35, 1788, -14214, 2336 , -873, 8093, 1960
8.08, -78.45, 2046, -14274, 2094 , -1230, 8384, 1554
7.15, -81.62, 1854, -14736, 1148 , -1537, 8896, 1262
5.00, -85.00, 1356, -15520, 194 , -1805, 9447, 1040
2.98, -86.68, 854, -16412, -446 , -1986, 9734, 1100
-0.64, -85.14, -196, -17418, -1482 , -1988, 10072, 884
-0.55, -83.94, -172, -17670, -1880 , -1858, 10238, 714
-0.12, -84.67, -36, -17618, -1656 , -1471, 9911, 852
-2.35, -84.01, -744, -18074, -1758 , -1043, 9899, 660
-1.38, -85.21, -430, -17766, -1440 , -654, 9931, 686
-1.00, -85.92, -310, -17646, -1234 , -363, 10076, 765
-2.12, -85.99, -644, -17352, -1046 , -213, 10215, 870
-2.31, -86.21, -682, -16894, -902 , -206, 10535, 988
-3.01, -86.71, -864, -16412, -408 , -289, 10727, 1152
-4.74, -85.13, -1342, -16200, -376 , -589, 10838, 1292
-5.87, -83.74, -1660, -16142, -650 , -874, 10890, 1373
-6.92, -82.05, -2004, -16488, -1156 , -1077, 10886, 1403
-6.83, -81.55, -2036, -16932, -1498 , -1302, 11101, 1392
-6.29, -81.10, -1898, -17124, -1912 , -1416, 11516, 1334
-6.42, -80.15, -1968, -17336, -2294 , -1402, 11917, 1210
-6.20, -79.90, -1908, -17412, -2462 , -1242, 12287, 1083
-6.13, -81.02, -1872, -17320, -2016 , -1069, 12728, 994
-7.38, -80.79, -2222, -17090, -1676 , -1010, 13076, 827
-7.41, -81.00, -2212, -16952, -1542 , -1058, 13514, 703
-6.76, -81.14, -2018, -16952, -1724 , -1061, 13909, 583
-7.20, -80.58, -2162, -17026, -1836 , -1023, 14199, 479
-7.61, -79.98, -2268, -16882, -1956 , -939, 14375, 384
-7.43, -79.47, -2214, -16842, -2232 , -847, 14474, 367
-8.04, -78.48, -2394, -16782, -2460 , -781, 14593, 352
-8.70, -77.97, -2586, -16718, -2470 , -770, 14639, 349
-9.31, -77.46, -2756, -16628, -2484 , -839, 14561, 357
-10.11, -76.39, -2974, -16474, -2674 , -971, 14426, 355
-9.74, -75.55, -2880, -16494, -3142 , -1059, 14315, 364
-11.62, -74.03, -3402, -16238, -3182 , -1066, 14045, 270
-11.99, -74.41, -3446, -15980, -2846 , -1070, 13401, 123
-10.55, -76.08, -3060, -16232, -2628 , -1065, 12954, 42
-9.67, -76.75, -2836, -16446, -2654 , -1008, 12651, -22
-9.02, -76.76, -2662, -16532, -2852 , -889, 12510, -99
-8.52, -77.80, -2506, -16546, -2570 , -705, 12491, -158
-7.97, -78.57, -2314, -16358, -2380 , -615, 12495, -172
-7.83, -79.63, -2290, -16550, -1998 , -578, 12393, -188
-7.48, -79.75, -2204, -16672, -2076 , -524, 12295, -177
-6.97, -80.03, -2060, -16722, -2114 , -375, 12291, -143
-9.05, -78.85, -2668, -16650, -1930 , -196, 12085, -156
-8.86, -78.73, -2624, -16710, -2072 , -2, 11972, -106
-8.64, -79.04, -2558, -16724, -2008 , 224, 11997, -28
-8.67, -79.24, -2576, -16792, -1904 , 355, 12019, 34
-8.80, -79.47, -2616, -16824, -1738 , 480, 11998, 86
-9.04, -78.80, -2692, -16822, -1980 , 625, 12024, 158
-9.39, -78.16, -2788, -16724, -2144 , 853, 12020, 170
-9.62, -78.12, -2854, -16726, -2076 , 1077, 11915, 198
-10.62, -77.43, -3118, -16522, -1982 , 1229, 11887, 277
-10.89, -77.17, -3186, -16446, -1994 , 1355, 11878, 321
-11.25, -77.16, -3298, -16490, -1830 , 1484, 11903, 404
-11.21, -77.03, -3308, -16592, -1938 , 1574, 11959, 486
-11.32, -76.16, -3370, -16672, -2370 , 1738, 12210, 596
-11.73, -75.78, -3484, -16616, -2384 , 1969, 12459, 675
-11.68, -76.40, -3430, -16476, -2052 , 2126, 12572, 752
-11.75, -76.63, -3390, -16204, -1850 , 2247, 12601, 841
-12.16, -76.56, -3492, -16128, -1658 , 2223, 12668, 901
-11.51, -77.86, -3318, -16262, -1144 , 2158, 12643, 927
-12.69, -76.98, -3700, -16416, -900 , 2052, 12381, 871
-12.73, -76.79, -3764, -16634, -1082 , 2053, 12164, 845
-12.85, -76.60, -3826, -16736, -1168 , 2135, 11968, 799
-13.05, -76.45, -3852, -16590, -1112 , 2227, 11731, 705
-12.46, -77.31, -3668, -16596, -768 , 2280, 11569, 586
-11.07, -78.96, -3320, -16978, -200 , 2121, 11402, 507
-9.61, -80.43, -2940, -17370, 104 , 1873, 11095, 408
-8.55, -81.49, -2646, -17600, 90 , 1568, 10816, 273
-7.28, -82.76, -2240, -17544, -106 , 1420, 10597, 134
-6.18, -83.86, -1852, -17108, 86 , 1357, 10565, 22
-5.80, -84.11, -1696, -16688, 366 , 1328, 10686, -105
-6.15, -83.54, -1784, -16546, 614 , 1200, 10839, -176
-6.70, -83.26, -1976, -16818, 314 , 1072, 10902, -218
-7.33, -82.41, -2236, -17370, -650 , 1099, 10764, -235
-7.73, -79.83, -2458, -18000, -2116 , 1415, 10373, -214
-7.84, -77.15, -2568, -18360, -3326 , 1994, 9663, -128
-7.42, -75.03, -2474, -18522, -4306 , 2699, 8935, -13
-6.48, -75.29, -2150, -18446, -4354 , 3486, 8255, 154
-5.28, -76.90, -1716, -18178, -3880 , 3969, 7426, 397
-3.85, -79.30, -1218, -17848, -3158 , 4236, 6682, 788
-3.19, -80.38, -980, -17348, -2786 , 4347, 5945, 1170
-2.69, -80.74, -814, -17098, -2678 , 4384, 5236, 1557
-2.87, -81.02, -868, -17106, -2574 , 4425, 4837, 1914
-3.25, -81.54, -982, -17122, -2362 , 4541, 4576, 2142
-3.50, -82.89, -1052, -17118, -1872 , 4657, 4507, 2211
-3.26, -84.60, -970, -16974, -1294 , 4727, 4706, 2184
-2.38, -86.73, -700, -16850, -678 , 4816, 5039, 2033
-2.62, -87.01, -762, -16656, -446 , 4904, 5360, 1804
-2.42, -87.62, -690, -16354, -52 , 5077, 5665, 1492
-1.75, -88.28, -488, -16004, 76 , 5270, 5858, 1054
-0.54, -89.07, -146, -15560, 222 , 5506, 6110, 651
0.79, -88.13, 206, -14970, 456 , 5597, 6486, 251
1.93, -87.34, 490, -14518, 478 , 5544, 7294, -160
4.03, -85.79, 994, -14118, 336 , 5319, 8277, -522
5.89, -83.96, 1442, -13988, 374 , 4890, 9422, -997
6.51, -83.33, 1628, -14274, 412 , 4245, 10467, -1453
7.79, -82.21, 2026, -14824, -224 , 3728, 11443, -1958
8.34, -81.35, 2208, -15052, -652 , 3335, 12141, -2688
11.87, -77.31, 3318, -15740, -1280 , 3174, 12819, -3313
14.15, -74.98, 4070, -16090, -1478 , 3381, 13866, -3830
13.68, -75.76, 3952, -16198, -1176 , 3867, 14624, -4454
12.47, -77.30, 3550, -16046, -750 , 4424, 15057, -5013
11.63, -78.35, 3310, -16090, -346 , 5238, 15352, -5532
10.95, -79.10, 3148, -16282, -28 , 5953, 15978, -5723
7.32, -82.56, 2090, -16280, 456 , 6637, 16576, -5787
3.05, -85.18, 860, -16110, 1068 , 7284, 17095, -5775
-1.58, -83.30, -444, -15970, 1834 , 7640, 17445, -5671
-7.65, -77.68, -2158, -15840, 2718 , 7723, 17500, -5471
-12.33, -73.94, -3486, -15698, 2892 , 7557, 17399, -5259
-17.66, -69.11, -5040, -15524, 3136 , 7177, 17293, -5045
-20.51, -67.09, -5858, -15406, 2864 , 6546, 16986, -4746
-22.24, -66.14, -6338, -15320, 2428 , 5926, 16401, -4400
-23.86, -64.76, -6722, -15032, 2276 , 5079, 15621, -4041
-24.15, -64.52, -6560, -14476, 2166 , 4209, 14393, -3752
-23.68, -65.11, -6200, -14006, 1980 , 3051, 13139, -3509
-21.83, -66.47, -5540, -13660, 2190 , 1945, 11722, -3382
-18.92, -69.31, -4674, -13490, 2052 , 797, 10622, -3229
-15.88, -72.10, -3932, -13682, 2040 , -513, 9577, -3131
