Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-23.54, -66.10, -10054, -23024, -1820 , -4353, -270, -205
-29.04, -60.61, -12102, -21724, -1896 , -3410, -718, -807
-27.78, -62.02, -10478, -19856, -1352 , -2315, -533, -1709
-18.12, -71.70, -5770, -17616, -884 , -1133, 384, -1684
-6.19, -82.59, -1784, -16406, -1192 , -236, 1839, -999
1.64, -87.48, 430, -15056, -518 , 474, 2677, 104
-2.23, -86.89, -554, -14192, 552 , 661, 3374, 759
-14.17, -74.79, -3434, -13538, 1354 , 306, 3591, 565
-26.17, -62.94, -6530, -13186, 1690 , -229, 3191, -305
-33.21, -56.28, -8700, -13212, 1502 , -699, 2772, -1408
-36.74, -52.99, -10102, -13488, 1234 , -1125, 2225, -2490
-36.45, -53.24, -10256, -13830, 1324 , -1512, 1484, -3039
-35.32, -54.48, -9936, -13988, 1092 , -1979, 741, -3209
-32.83, -57.21, -9200, -14268, 38 , -1918, -223, -2936
-29.29, -60.59, -8158, -14526, -828 , -1472, -681, -2403
-26.44, -63.57, -7308, -14702, -372 , -1004, -754, -1641
-25.08, -64.91, -6804, -14542, 436 , -889, -906, -1110
-23.19, -66.80, -6172, -14412, 410 , -848, -994, -673
-21.35, -68.65, -5550, -14202, 336 , -729, -675, -343
-21.14, -68.89, -5446, -14090, 206 , -562, -210, -30
-21.99, -68.05, -5618, -13918, 142 , -458, 286, 152
-23.97, -66.08, -6098, -13726, 72 , -340, 951, 192
-25.29, -64.73, -6440, -13634, 236 , -279, 1354, 181
-25.47, -64.22, -6404, -13412, 1038 , -376, 1465, 252
-26.90, -62.64, -6818, -13388, 1280 , -650, 1539, 351
-30.23, -59.55, -7858, -13456, 998 , -856, 1671, 424
-34.22, -55.66, -9160, -13450, 842 , -1081, 1502, 461
-37.65, -52.11, -10418, -13460, 1168 , -1459, 1034, 415
-38.24, -51.34, -10608, -13384, 1528 , -2123, -154, 405
-37.82, -51.83, -10446, -13394, 1390 , -2553, -1400, 407
-36.98, -52.95, -10028, -13308, 736 , -2682, -2652, 422
-36.15, -53.90, -9740, -13342, 48 , -2447, -3359, 324
-35.09, -54.88, -9402, -13380, 586 , -2218, -3438, 254
-33.77, -56.08, -9090, -13572, 926 , -2222, -3460, 305
-33.53, -56.35, -9128, -13756, 858 , -2310, -3849, 413
-33.37, -56.54, -9238, -14014, 784 , -2301, -4407, 557
-33.20, -56.49, -9246, -14080, 1272 , -2263, -5042, 770
-32.50, -57.02, -9078, -14176, 1542 , -2234, -5528, 908
-31.01, -57.95, -8584, -14124, 2170 , -2256, -5738, 1043
-27.59, -60.56, -7456, -14024, 2684 , -2312, -6013, 1206
-23.95, -64.59, -6232, -13870, 2168 , -2180, -6120, 1383
-19.13, -69.79, -4864, -13930, 1652 , -1786, -5858, 1694
-16.88, -72.65, -4270, -14042, 1050 , -1478, -5352, 2004
