Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-5.09, -81.59, -1656, -18476, -2188 , 186, 3474, -828
-5.26, -81.39, -1704, -18396, -2222 , 200, 3231, -635
-5.11, -80.77, -1652, -18324, -2494 , 280, 3060, -428
-4.80, -80.77, -1562, -18434, -2570 , 362, 2919, -213
-4.51, -79.98, -1482, -18584, -2944 , 504, 2783, 50
-3.63, -79.07, -1218, -18916, -3460 , 676, 2595, 422
-2.83, -78.62, -970, -19284, -3774 , 983, 2259, 806
-1.72, -79.29, -596, -19530, -3660 , 1359, 1735, 1273
-0.56, -80.21, -196, -19842, -3432 , 1721, 1255, 1765
0.48, -81.18, 168, -19820, -3084 , 2165, 836, 2356
1.62, -81.80, 560, -19612, -2784 , 2599, 516, 2887
3.46, -81.64, 1174, -19246, -2590 , 3142, 248, 3458
5.45, -80.95, 1816, -18892, -2416 , 3838, 107, 4178
6.59, -79.82, 2168, -18614, -2562 , 4929, 49, 4844
7.34, -79.12, 2394, -18398, -2620 , 6106, 56, 5551
8.28, -77.24, 2664, -18054, -3118 , 7603, 206, 6286
7.66, -77.25, 2424, -17732, -3212 , 9462, 710, 7083
6.24, -79.26, 1892, -17100, -2650 , 11558, 1341, 7693
5.58, -81.32, 1598, -16264, -1916 , 12885, 1868, 8254
6.57, -83.41, 1770, -15370, -252 , 13654, 1790, 8980
9.07, -80.31, 2354, -14718, 914 , 13866, 1603, 9714
10.66, -77.69, 2756, -14568, 1604 , 14148, 1674, 10426
12.38, -76.22, 3192, -14470, 1576 , 14845, 2051, 11370
14.36, -73.06, 3816, -14726, 2376 , 15431, 3377, 12220
15.59, -70.60, 4222, -14824, 3090 , 15556, 4448, 12688
17.64, -70.77, 4774, -14878, 2064 , 15280, 4408, 12793
19.35, -70.41, 5306, -15088, -896 , 15322, 3350, 12756
18.70, -67.07, 5382, -15462, -3736 , 16001, 1927, 12766
15.02, -69.29, 4466, -16124, -4166 , 16914, 1340, 12707
10.96, -75.24, 3268, -16622, -2934 , 17196, 1125, 12612
6.74, -81.87, 2040, -17212, -1396 , 16688, 1057, 12450
2.22, -87.80, 694, -17880, -94 , 15756, 698, 12355
0.19, -88.58, 62, -18278, 462 , 14466, 209, 12368
-1.58, -86.62, -508, -18456, 980 , 13429, -114, 12334
-2.02, -85.55, -668, -18860, 1324 , 12589, -974, 12484
-2.73, -84.61, -906, -18944, 1558 , 11875, -1702, 12486
-3.55, -83.78, -1198, -19254, 1740 , 11014, -2560, 12248
-6.93, -81.64, -2380, -19530, 1630 , 10369, -4168, 12022
-5.03, -84.04, -1750, -19842, 1136 , 9846, -5117, 12133
-4.76, -85.09, -1662, -19946, 480 , 9596, -5641, 12273
-6.14, -83.56, -2140, -19890, 722 , 9198, -6137, 12406
-7.89, -81.22, -2704, -19466, 1350 , 8616, -7051, 12354
-8.57, -80.05, -2850, -18850, 1706 , 7794, -7809, 12163
-8.11, -79.95, -2586, -18064, 1910 , 6788, -8297, 11902
-7.27, -80.04, -2248, -17500, 2116 , 6050, -8586, 11584
-5.63, -79.84, -1666, -16708, 2504 , 5236, -8472, 11149
-4.01, -81.47, -1126, -15930, 2122 , 4707, -8193, 10759
-2.83, -82.83, -764, -15368, 1788 , 4443, -8154, 10368
-2.31, -84.25, -618, -15246, 1418 , 4425, -8479, 10137
-2.21, -82.66, -602, -15480, 1912 , 4488, -9013, 10000
-1.60, -80.89, -442, -15670, 2484 , 4200, -9347, 9962
-2.26, -80.75, -640, -16010, 2540 , 3826, -9632, 10006
-3.81, -79.94, -1090, -16166, 2664 , 3394, -9774, 9977
-4.88, -80.03, -1388, -16068, 2474 , 2749, -9885, 9807
-4.23, -80.42, -1160, -15506, 2360 , 2226, -10136, 9646
-3.92, -81.60, -1038, -15014, 1972 , 1788, -10543, 9434
-3.36, -82.46, -858, -14502, 1728 , 1358, -10967, 9183
