Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
17.83, -71.17, 8004, -24744, -2728 , -3652, 11137, -1179
23.53, -61.42, 9154, -20138, -6072 , -97, 8730, 29
25.54, -53.11, 8420, -15620, -8172 , 3559, 9599, 1270
23.38, -51.72, 6188, -12244, -7432 , 5573, 13005, 2109
22.30, -61.18, 4462, -10306, -3510 , 5092, 16429, 2344
9.93, -76.66, 1922, -10852, 1722 , 3305, 17156, 1894
1.61, -82.20, 380, -13412, 1808 , 1241, 17402, 1142
-2.80, -83.87, -810, -16520, -1594 , 659, 18974, 308
-8.33, -76.66, -2886, -19386, -3594 , 1111, 20173, -709
-12.88, -73.70, -4906, -21138, -3782 , 1687, 20279, -1571
-15.19, -71.47, -5902, -21358, -4076 , 1731, 19876, -2196
-15.48, -70.69, -5890, -20830, -4338 , 1748, 20058, -2441
-15.54, -71.65, -5440, -19278, -3386 , 1844, 20152, -2199
-13.33, -75.02, -4268, -17882, -2194 , 1780, 19637, -1590
-10.23, -77.73, -3032, -16686, -2016 , 1580, 18543, -946
-6.87, -79.55, -1964, -16158, -2256 , 1274, 18053, -288
-7.22, -78.53, -2078, -16218, -2566 , 875, 18038, -2
-9.11, -76.75, -2698, -16596, -2844 , 563, 18401, -24
-11.58, -74.23, -3648, -17496, -3352 , 495, 18921, -399
-13.24, -74.05, -4340, -18222, -2902 , 586, 19265, -918
-14.54, -74.06, -4818, -18458, -2170 , 690, 18815, -1430
-14.77, -74.03, -4856, -18322, -2010 , 786, 18289, -1876
-14.19, -74.44, -4558, -17922, -2060 , 851, 17688, -2018
-12.75, -75.59, -3970, -17434, -2104 , 863, 17145, -1919
-11.37, -77.19, -3426, -16956, -1798 , 747, 16504, -1727
-9.55, -79.50, -2810, -16652, -1304 , 573, 16151, -1499
-7.55, -81.61, -2188, -16484, -1090 , 168, 16150, -1370
-6.25, -81.56, -1798, -16346, -1644 , 13, 16079, -1234
-7.16, -79.99, -2066, -16330, -2026 , 54, 16221, -1405
