Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-19.84, -69.69, -4856, -13420, 1082 , -5156, -18129, -738
-10.95, -78.76, -2844, -14684, 700 , -5635, -18568, 676
-7.22, -82.78, -1986, -15684, -216 , -5759, -17691, 1434
-6.07, -83.51, -1684, -15822, -668 , -5705, -16516, 1645
-4.43, -85.46, -1218, -15714, -322 , -5628, -15731, 1390
-3.39, -86.65, -946, -15960, 40 , -5603, -14548, 1015
-4.79, -85.03, -1368, -16336, -424 , -5415, -12786, 683
-11.23, -78.41, -3354, -16878, -902 , -5096, -11040, 316
-15.00, -74.75, -4688, -17484, -934 , -4638, -10152, 138
-18.18, -71.83, -5718, -17420, -356 , -4446, -10273, 46
-21.36, -68.52, -6596, -16854, -792 , -4343, -10524, -106
-22.88, -67.02, -6696, -15862, -746 , -4274, -10616, -200
-21.56, -68.40, -6030, -15260, -510 , -4332, -10930, -210
-20.21, -69.57, -5558, -15078, -876 , -4249, -11306, -175
-20.03, -69.71, -5548, -15198, -958 , -4075, -11733, -236
-20.00, -69.81, -5630, -15456, -852 , -4071, -11999, -362
-19.27, -70.63, -5502, -15734, -666 , -4302, -12099, -513
-19.63, -70.25, -5666, -15880, -728 , -4516, -12139, -729
-20.47, -69.46, -5978, -16012, -636 , -4599, -12636, -1086
-20.70, -69.15, -6112, -16162, -814 , -4569, -13127, -1432
-20.28, -69.42, -5976, -16142, -1078 , -4516, -13485, -1799
-18.86, -70.63, -5530, -16144, -1332 , -4466, -13931, -2009
-16.79, -72.29, -4880, -16098, -1656 , -4406, -14245, -2187
-16.10, -72.80, -4698, -16186, -1774 , -4272, -14421, -2313
-16.03, -72.98, -4668, -16170, -1676 , -4158, -14515, -2523
-15.18, -74.16, -4414, -16226, -1352 , -4057, -14458, -2653
-13.83, -76.03, -3988, -16196, -658 , -4094, -14294, -2723
-12.56, -77.39, -3616, -16234, -440 , -4240, -14059, -2723
-11.04, -78.56, -3194, -16350, -910 , -4260, -13731, -2662
-9.64, -79.14, -2814, -16516, -1482 , -4147, -13678, -2553
-8.47, -78.61, -2488, -16556, -2238 , -3874, -13970, -2438
-7.65, -77.38, -2250, -16492, -2944 , -3487, -14262, -2362
-7.15, -76.21, -2108, -16442, -3456 , -3072, -14499, -2343
-6.33, -75.91, -1866, -16418, -3688 , -2681, -14678, -2311
-5.03, -76.15, -1490, -16500, -3798 , -2329, -14734, -2226
-4.17, -76.67, -1242, -16622, -3750 , -2076, -14596, -2087
-3.55, -77.29, -1064, -16780, -3646 , -1784, -14397, -1870
-3.72, -78.46, -1126, -17030, -3302 , -1526, -14144, -1718
-5.17, -79.36, -1566, -17096, -2818 , -1290, -14029, -1512
-5.74, -80.09, -1744, -17176, -2456 , -1022, -13921, -1241
-6.41, -80.92, -1942, -17180, -1960 , -763, -13954, -772
-8.11, -80.26, -2448, -17104, -1642 , -505, -14231, -300
-10.01, -79.26, -3010, -17014, -1200 , -319, -14959, 204
-11.44, -77.86, -3440, -16962, -1250 , -201, -15700, 803
-11.62, -77.35, -3476, -16838, -1510 , -103, -16405, 1372
-12.10, -76.30, -3590, -16648, -1918 , 1, -16933, 1913
-11.66, -76.52, -3434, -16530, -1998 , 74, -17314, 2517
-10.53, -77.91, -3064, -16396, -1740 , 37, -17696, 3044
-8.74, -79.92, -2522, -16346, -1468 , -24, -18169, 3535
-6.66, -81.89, -1920, -16386, -1350 , -6, -18574, 4059
-4.11, -84.28, -1186, -16482, -1168 , 87, -18853, 4471
-1.65, -85.58, -478, -16590, -1204 , 277, -18854, 4819
-0.49, -84.79, -144, -16642, -1522 , 620, -18395, 5051
-0.68, -84.02, -198, -16600, -1740 , 1186, -17682, 5183
-1.85, -82.48, -534, -16388, -2110 , 1821, -16942, 5306
-4.75, -80.67, -1352, -16134, -2294 , 2650, -16478, 5382
-7.45, -78.49, -2106, -15920, -2478 , 3345, -16325, 5389
-9.01, -78.52, -2524, -15792, -1998 , 3912, -16591, 5456
-9.86, -78.44, -2812, -16096, -1734 , 4330, -17399, 5618
-10.76, -78.02, -3152, -16516, -1558 , 4712, -18555, 5777
-11.50, -77.58, -3518, -17244, -1462 , 5144, -19330, 5899
-12.38, -77.04, -3970, -18054, -1270 , 5577, -19982, 5870
-13.21, -76.55, -4452, -18954, -930 , 5956, -20394, 5774
-13.72, -76.23, -4906, -20096, -560 , 6216, -20904, 5659
-14.08, -75.91, -5226, -20848, -488 , 6484, -21578, 5629
-13.61, -76.42, -5224, -21586, -250 , 6782, -22324, 5737
-13.54, -76.47, -5260, -21854, -380 , 7145, -22977, 6067
-12.99, -77.04, -5092, -22084, -254 , 7880, -23503, 6587
-12.73, -77.30, -5036, -22302, 258 , 8472, -23429, 7164
-10.00, -79.28, -3618, -20480, 1438 , 8840, -23231, 8059
-5.51, -83.97, -1880, -19464, 868 , 8788, -22442, 9202
-1.03, -88.97, -346, -19302, -102 , 9604, -23081, 10819
1.18, -87.42, 388, -18792, 770 , 10248, -23780, 12099
2.48, -83.30, 796, -18248, 2006 , 10425, -23835, 12902
3.71, -80.49, 1148, -17490, 2710 , 10268, -23555, 13421
5.03, -78.53, 1504, -16816, 3076 , 10097, -22999, 13753
6.70, -76.68, 1838, -15340, 3144 , 9870, -22533, 13964
4.64, -76.88, 1198, -14442, 3156 , 9572, -21622, 13725
2.35, -76.78, 570, -13548, 3142 , 8908, -20786, 12819
-0.48, -76.60, -112, -13110, 3130 , 8079, -20111, 12225
-4.19, -75.84, -970, -12872, 3108 , 6610, -19643, 11276
-9.18, -74.02, -2188, -13184, 3088 , 5000, -19287, 10470
-15.50, -68.97, -3892, -13596, 3504 , 3211, -18973, 9450
-19.92, -64.46, -5370, -14228, 4184 , 975, -18290, 8527
-23.20, -61.05, -6572, -14598, 4710 , -905, -17501, 7627
-24.82, -59.72, -7212, -14838, 4820 , -2793, -16935, 7222
-25.67, -60.85, -7392, -14906, 3824 , -4028, -17000, 7220
-23.76, -64.35, -6674, -14936, 2656 , -4918, -17567, 7728
-21.79, -67.46, -5952, -14812, 1582 , -5440, -18695, 8346
-19.81, -69.67, -5276, -14604, 1240 , -6053, -19885, 9044
-19.22, -70.13, -5004, -14300, 1332 , -6847, -21266, 9343
-18.84, -70.47, -4816, -14056, 1330 , -7798, -22113, 9336
-17.97, -71.53, -4460, -13712, 1088 , -8991, -22570, 9130
-16.59, -72.96, -4046, -13552, 980 , -9987, -22876, 8885
-14.83, -74.74, -3594, -13550, 906 , -10937, -23217, 8660
-11.89, -77.25, -2884, -13658, 1138 , -11732, -23680, 8482
-9.49, -79.33, -2322, -13850, 1210 , -12607, -24056, 8324
-8.08, -80.00, -2026, -14198, 1490 , -13201, -24511, 8126
-7.51, -80.31, -1940, -14630, 1590 , -13708, -25010, 7931
-7.71, -80.08, -2060, -15122, 1676 , -14220, -25680, 7616
-7.75, -80.21, -2134, -15594, 1656 , -14499, -25965, 7265
-7.19, -80.54, -2016, -15890, 1734 , -14723, -25806, 6889
-6.72, -81.06, -1940, -16390, 1718 , -14941, -25281, 6225
-4.74, -82.31, -1368, -16422, 1760 , -15277, -24369, 5714
-2.98, -83.37, -842, -16104, 1686 , -15747, -23852, 5207
-1.21, -85.30, -338, -15932, 1278 , -16143, -23390, 4798
1.08, -87.75, 296, -15650, 554 , -16401, -22753, 4329
2.87, -87.16, 778, -15528, -84 , -16319, -21748, 3907
3.64, -85.77, 986, -15500, -610 , -16005, -21023, 3431
2.74, -86.19, 746, -15556, -734 , -15502, -20816, 2790
-0.24, -86.26, -68, -15968, -1054 , -14818, -21464, 2231
-4.41, -82.96, -1276, -16464, -1598 , -13577, -22347, 1571
-6.92, -80.16, -2118, -17328, -2152 , -11997, -23078, 1123
-8.67, -79.68, -2736, -17854, -1782 , -10358, -23308, 932
-8.51, -81.16, -2722, -18174, -814 , -8680, -22998, 1012
-6.18, -83.61, -1940, -17910, 560 , -7762, -21746, 1245
