Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-5.79, -77.46, -1716, -16600, -3284 , 5686, 16293, 1062
-7.75, -76.69, -2382, -17198, -3314 , 5954, 15887, 1476
-9.56, -76.27, -2966, -17360, -3048 , 6245, 15407, 1788
-10.93, -76.38, -3348, -17172, -2492 , 6467, 14996, 2177
-11.68, -76.48, -3478, -16708, -2032 , 6713, 14636, 2547
-11.99, -76.98, -3496, -16398, -1502 , 6839, 14459, 2898
-12.09, -77.18, -3426, -15958, -1234 , 6818, 14420, 3182
-11.42, -78.24, -3208, -15866, -834 , 6707, 14410, 3254
-9.93, -79.99, -2786, -15908, -440 , 6601, 14365, 3101
-7.39, -82.65, -2102, -16210, 96 , 6536, 14413, 2847
-3.51, -86.30, -1012, -16510, 376 , 6546, 14645, 2408
0.24, -87.35, 70, -16876, 792 , 6631, 15084, 1965
3.62, -85.20, 1090, -17190, 964 , 6859, 15859, 1465
6.34, -82.63, 1932, -17354, 1170 , 7185, 16817, 917
7.85, -80.76, 2406, -17404, 1518 , 7656, 17934, 255
7.72, -80.75, 2360, -17346, 1574 , 8093, 19397, -314
7.39, -80.86, 2222, -17062, 1632 , 8539, 20758, -818
5.45, -82.14, 1600, -16680, 1672 , 9035, 22041, -1311
2.51, -83.72, 712, -16198, 1646 , 9358, 23338, -1700
-1.88, -82.93, -520, -15702, 1890 , 9542, 24206, -2084
-6.51, -80.12, -1756, -15258, 2008 , 9596, 24520, -2383
-11.62, -76.45, -3092, -14924, 1856 , 9526, 24433, -2710
-16.30, -72.45, -4380, -14888, 1754 , 9440, 24240, -3094
-19.34, -69.64, -5248, -14858, 1726 , 9251, 23977, -3407
-21.36, -67.80, -5810, -14774, 1644 , 9081, 23645, -3708
-21.91, -66.76, -6022, -14832, 2104 , 8735, 23550, -3907
-21.03, -66.36, -5762, -14714, 2902 , 8109, 23422, -4029
-20.10, -66.44, -5440, -14514, 3252 , 7091, 22896, -4050
-18.59, -68.75, -4872, -14248, 2660 , 6121, 21926, -3993
-18.52, -70.10, -4726, -13992, 1848 , 5144, 20885, -4003
-19.09, -70.26, -4818, -13870, 1282 , 4478, 19469, -4149
-18.52, -70.81, -4608, -13702, 1264 , 3727, 18147, -4417
-17.51, -71.31, -4320, -13602, 1610 , 3048, 16571, -4681
-15.57, -71.62, -3838, -13576, 2388 , 2105, 15414, -5022
-12.97, -72.85, -3224, -13734, 2768 , 1321, 14690, -5335
-9.38, -74.75, -2356, -13956, 3000 , 693, 14842, -5615
-5.04, -76.40, -1310, -14508, 3266 , 163, 15372, -5786
-1.70, -76.41, -456, -14954, 3598 , -137, 16125, -5916
1.45, -77.39, 402, -15456, 3444 , -285, 16799, -5996
2.72, -78.35, 772, -15932, 3204 , -211, 17477, -6075
3.17, -79.38, 914, -16242, 2918 , 70, 18196, -6147
3.57, -80.61, 1038, -16464, 2530 , 513, 18859, -6193
3.36, -80.68, 978, -16460, 2530 , 1021, 19482, -6116
