type_features,accuracy
"['Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'rappA/G']",97.67
"['Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'rappA/G', 'CF']",98.03
"['Massima_Ampiezza', 'Minima_Ampiezza', 'TF']",95.87
"['Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'CF']",96.05
"['Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'rappA/G']",96.95
"['Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'rappA/G', 'CF']",96.95
"['Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der']",96.95
"['Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'CF']",97.85
"['Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G']",97.67
"['Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",97.67
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media']",97.69
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'CF']",97.85
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",97.49
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",97.67
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der']",97.31
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",97.31
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",97.49
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",97.67
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF']",98.56
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",97.49
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.03
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.03
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.03
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",97.67
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",98.03
"['Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",97.85
['Deviazione_Standard'],93.43
"['Deviazione_Standard', 'CF']",96.41
"['Deviazione_Standard', 'rappA/G']",97.85
"['Deviazione_Standard', 'rappA/G', 'CF']",96.59
"['Deviazione_Standard', 'der']",97.49
"['Deviazione_Standard', 'der', 'CF']",98.2
"['Deviazione_Standard', 'der', 'rappA/G']",98.2
"['Deviazione_Standard', 'der', 'rappA/G', 'CF']",98.38
"['Deviazione_Standard', 'TF']",95.33
"['Deviazione_Standard', 'TF', 'CF']",96.95
"['Deviazione_Standard', 'TF', 'rappA/G']",97.85
"['Deviazione_Standard', 'TF', 'rappA/G', 'CF']",97.85
"['Deviazione_Standard', 'TF', 'der']",98.03
"['Deviazione_Standard', 'TF', 'der', 'CF']",98.03
"['Deviazione_Standard', 'TF', 'der', 'rappA/G']",98.03
"['Deviazione_Standard', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Deviazione_Standard', 'Ampiezza_Media']",97.69
"['Deviazione_Standard', 'Ampiezza_Media', 'CF']",98.38
"['Deviazione_Standard', 'Ampiezza_Media', 'rappA/G']",97.85
"['Deviazione_Standard', 'Ampiezza_Media', 'rappA/G', 'CF']",98.2
"['Deviazione_Standard', 'Ampiezza_Media', 'der']",97.85
"['Deviazione_Standard', 'Ampiezza_Media', 'der', 'CF']",98.03
"['Deviazione_Standard', 'Ampiezza_Media', 'der', 'rappA/G']",98.2
"['Deviazione_Standard', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.03
"['Deviazione_Standard', 'Ampiezza_Media', 'TF']",98.56
"['Deviazione_Standard', 'Ampiezza_Media', 'TF', 'CF']",98.74
"['Deviazione_Standard', 'Ampiezza_Media', 'TF', 'rappA/G']",98.74
"['Deviazione_Standard', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Deviazione_Standard', 'Ampiezza_Media', 'TF', 'der']",97.67
"['Deviazione_Standard', 'Ampiezza_Media', 'TF', 'der', 'CF']",97.85
"['Deviazione_Standard', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",97.85
"['Deviazione_Standard', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza']",96.8
"['Deviazione_Standard', 'Minima_Ampiezza', 'CF']",96.59
"['Deviazione_Standard', 'Minima_Ampiezza', 'rappA/G']",98.38
"['Deviazione_Standard', 'Minima_Ampiezza', 'rappA/G', 'CF']",97.85
"['Deviazione_Standard', 'Minima_Ampiezza', 'der']",98.38
"['Deviazione_Standard', 'Minima_Ampiezza', 'der', 'CF']",98.74
"['Deviazione_Standard', 'Minima_Ampiezza', 'der', 'rappA/G']",98.38
"['Deviazione_Standard', 'Minima_Ampiezza', 'der', 'rappA/G', 'CF']",98.56
"['Deviazione_Standard', 'Minima_Ampiezza', 'TF']",96.95
"['Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'CF']",97.85
"['Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'rappA/G']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'rappA/G', 'CF']",97.85
"['Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'der']",98.56
"['Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'der', 'CF']",98.38
"['Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.38
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media']",98.22
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'CF']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.38
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'der']",97.85
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",98.03
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.03
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.38
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.56
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",98.2
"['Deviazione_Standard', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.74
"['Deviazione_Standard', 'Massima_Ampiezza']",96.45
"['Deviazione_Standard', 'Massima_Ampiezza', 'CF']",97.31
"['Deviazione_Standard', 'Massima_Ampiezza', 'rappA/G']",98.38
"['Deviazione_Standard', 'Massima_Ampiezza', 'rappA/G', 'CF']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'der']",98.74
"['Deviazione_Standard', 'Massima_Ampiezza', 'der', 'CF']",98.38
"['Deviazione_Standard', 'Massima_Ampiezza', 'der', 'rappA/G']",98.38
"['Deviazione_Standard', 'Massima_Ampiezza', 'der', 'rappA/G', 'CF']",98.92
"['Deviazione_Standard', 'Massima_Ampiezza', 'TF']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'CF']",97.67
"['Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'rappA/G']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'rappA/G', 'CF']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'der']",97.67
"['Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'der', 'CF']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'der', 'rappA/G']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.92
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media']",97.69
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'CF']",98.2
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.56
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.74
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'der']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",97.85
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",98.38
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.2
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF']",98.2
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.38
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",98.38
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.38
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.74
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",97.85
"['Deviazione_Standard', 'Massima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G', 'CF']",98.38
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza']",97.51
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'CF']",97.31
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'rappA/G']",97.67
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'rappA/G', 'CF']",97.85
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der']",98.56
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'CF']",98.2
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'rappA/G']",98.92
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'der', 'rappA/G', 'CF']",98.2
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF']",97.49
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'CF']",97.31
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'rappA/G']",98.74
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'rappA/G', 'CF']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der']",98.56
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'CF']",98.74
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G']",98.56
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'TF', 'der', 'rappA/G', 'CF']",98.56
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media']",98.58
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'CF']",98.56
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G']",98.92
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'rappA/G', 'CF']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'CF']",98.03
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G']",97.67
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'der', 'rappA/G', 'CF']",98.74
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF']",98.38
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'CF']",98.74
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G']",99.1
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'rappA/G', 'CF']",98.92
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der']",98.74
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'CF']",98.2
"['Deviazione_Standard', 'Massima_Ampiezza', 'Minima_Ampiezza', 'Ampiezza_Media', 'TF', 'der', 'rappA/G']",98.38
