Deviazione_Standard_Pitch,Deviazione_Standard_Roll,Deviazione_Standard_AccelerometerX,Deviazione_Standard_AccelerometerY,Deviazione_Standard_AccelerometerZ,Deviazione_Standard_GyroscopeX,Deviazione_Standard_GyroscopeY,Deviazione_Standard_GyroscopeZ,Massima_Ampiezza_Pitch,Massima_Ampiezza_Roll,Massima_Ampiezza_AccelerometerX,Massima_Ampiezza_AccelerometerY,Massima_Ampiezza_AccelerometerZ,Massima_Ampiezza_GyroscopeX,Massima_Ampiezza_GyroscopeY,Massima_Ampiezza_GyroscopeZ,Minima_Ampiezza_Pitch,Minima_Ampiezza_Roll,Minima_Ampiezza_AccelerometerX,Minima_Ampiezza_AccelerometerY,Minima_Ampiezza_AccelerometerZ,Minima_Ampiezza_GyroscopeX,Minima_Ampiezza_GyroscopeY,Minima_Ampiezza_GyroscopeZ,Ampiezza_Media_Pitch,Ampiezza_Media_Roll,Ampiezza_Media_AccelerometerX,Ampiezza_Media_AccelerometerY,Ampiezza_Media_AccelerometerZ,Ampiezza_Media_GyroscopeX,Ampiezza_Media_GyroscopeY,Ampiezza_Media_GyroscopeZ,TF1,TF2,TF3,TF4,TF5,TF6,rappA/G1,rappA/G2,rappA/G3,Label
10.455065409339523,9.72458236575958,3140.1373404653696,3849.390259606548,3592.1470618796848,6874.713313666287,6093.83621309765,7235.400830421167,32.76,-46.44,8276.0,-8872.0,9372.0,18135.0,13745.0,15695.0,-25.15,-87.5,-9636.0,-28080.0,-6394.0,-11103.0,-12380.0,-9602.0,-3.3925,-75.33865,-960.66,-16207.81,256.78,-775.525,232.37,759.595,-2938.0,-21304.0,-3942.0,1688.0,3299.0,2525.0000000000023,1.2387221559588666,-69.7500107587038,0.3380485653539056,3
10.101423803319577,9.1180513676837,3221.30922413348,4751.063681072696,3992.101338566813,6993.3810801472,6726.865399875353,8655.927617795947,27.56,-43.22,6112.0,-5288.0,11832.0,14549.0,14749.0,18329.0,-26.81,-88.91,-11998.0,-31998.0,-11652.0,-14590.0,-13684.0,-12363.0,-0.5886000000000001,-74.9766,-250.91,-16342.33,-830.09,-1221.45,794.35,21.51,-24.00000000000029,-15192.000000000002,-2744.0000000000005,-5492.0,7827.000000000001,-6007.000000000001,0.2054197879569364,-20.57321080128407,-38.5908879590888,3
10.682328589684458,9.805621282774796,3177.043971537918,4249.547097168742,3737.116575730949,6786.050866247356,5892.465614619432,7270.635012744259,35.55,-36.94,8444.0,-6034.0,9866.0,17695.0,16787.0,16096.0,-23.47,-88.29,-9206.0,-30824.0,-6870.0,-11741.0,-12506.0,-9481.0,-0.7771499999999998,-75.16805000000001,-254.93,-16311.04,33.97,-851.45,-58.375,691.17,-1872.0,-19812.0,-1401.9999999999998,-897.0000000000016,5345.0,-1489.0000000000011,0.2994068941217922,279.41824411134905,0.0491485452204233,3
8.154122802046476,8.08242658705762,2342.7363145684985,3334.2527359117025,3480.8116823869123,7400.774269515088,5254.915676673102,7165.218025821881,20.7,-50.51,6376.0,-9352.0,7456.0,20921.0,13838.0,15472.0,-21.94,-89.86,-5800.0,-26816.0,-5966.0,-10213.0,-8790.0,-9487.0,-0.97185,-77.06424999999999,-246.26,-16345.86,101.96,-276.875,443.43,728.935,454.00000000000034,-20178.0,1728.0,12927.0,-785.0000000000003,9933.0,0.8894266365688487,-36.862323252824574,0.1398752975230987,3
10.531620040663476,9.796214251731593,3206.2156624705326,3609.055250199832,3776.722737184693,6803.045028904447,5098.421342772899,6108.852295788366,28.02,-47.76,8602.0,-9830.0,9228.0,17908.0,14164.0,15706.0,-24.77,-88.16,-9406.0,-30418.0,-7462.0,-13133.0,-11407.0,-7801.0,-2.80315,-75.04095000000001,-790.01,-16314.0,-86.14,-1249.195,1379.25,-233.51,459.9999999999997,-14311.999999999996,1618.0,3102.0000000000005,-11307.0,8638.999999999998,0.6324152754373817,-11.828167482327352,0.3688921245342812,3
10.665496157301218,10.391203648462438,3584.900952578605,4810.063171411039,4013.734313340938,8496.383786153263,5958.101087731994,8196.843401488015,28.69,-44.21,9708.0,-7412.0,10946.0,20493.0,17299.0,17741.0,-24.92,-87.93,-11618.0,-32188.0,-7464.0,-10811.0,-11891.0,-11101.0,-1.3625999999999996,-74.37195,-332.12,-16389.16,-337.76,52.34,506.535,1163.765,8298.0,-18946.000000000004,-5112.0,20253.0,3655.0,16993.999999999996,-6.34543370271303,-32.35543447145804,-0.2902304159344884,3
8.876316078510731,9.610630966558691,2556.0394924442526,2792.805045687235,3225.186359385116,6117.45646551016,4211.17704133504,5366.763616601947,19.55,-53.71,5304.0,-11726.0,9658.0,17098.0,7721.0,12152.0,-22.02,-89.59,-7662.0,-25128.0,-5110.0,-9560.0,-8877.0,-5971.0,-5.7759,-75.16975,-1693.85,-16077.13,2118.65,-268.075,553.37,445.39,-1.999999999999564,-17571.999999999996,775.9999999999997,-2570.0000000000005,2811.0,-1667.000000000001,6.318567565047095,-29.053129009523463,4.756842317968522,3
8.818042932293928,8.483088848974646,2526.7473281476937,3211.5858423079026,3583.6606867824344,6662.352871976134,5863.0789459641455,6913.8771552991775,22.93,-48.34,6820.0,-10018.0,9694.0,16574.0,12013.0,15870.0,-20.95,-88.11,-5754.0,-25586.0,-6370.0,-11863.0,-13113.0,-7325.0,-0.9825,-76.45774999999999,-277.2,-16344.34,433.04,-587.885,221.795,774.695,-1191.9999999999998,-15756.000000000002,-3396.0,-4155.000000000003,8202.0,-1890.9999999999973,0.4715207906308206,-73.6912013345657,0.5589812765023654,3
11.67298093104683,11.34243120878988,3524.8234639852967,5030.008924525285,3901.112788492883,6620.95991616452,6165.353157784313,7273.560964888501,40.87,-24.86,9852.0,-2286.0,10764.0,14397.0,18636.0,16360.0,-30.29,-88.04,-11514.0,-32768.0,-11748.0,-15057.0,-12299.0,-10165.0,-2.2285500000000003,-74.04495000000001,-673.5,-16207.41,-310.58,-678.86,920.74,656.34,-728.0000000000003,-10862.0,2344.0,-1603.999999999999,-4566.999999999999,1414.9999999999989,0.9921044103349732,-17.602591393878836,-0.4731998659231495,3
13.154475402427318,15.805610935526223,4138.379433556136,6131.925551771019,4731.717339912025,7063.495782281358,6370.023837660407,8797.93732463702,51.8,-0.93,10250.0,-172.0,14264.0,20029.0,15985.0,19566.0,-43.63,-87.37,-13936.0,-32768.0,-12508.0,-12945.0,-14729.0,-14731.0,0.6850499999999999,-71.25919999999999,-42.84,-16271.32,-919.01,-1098.795,248.31,298.74,3882.000000000002,-992.0,7678.0,-9577.0,6152.0,-739.0000000000027,0.0389881643072638,-65.52825097660183,-3.076287072370623,3
