Deviazione_Standard_Pitch,Deviazione_Standard_Roll,Deviazione_Standard_AccelerometerX,Deviazione_Standard_AccelerometerY,Deviazione_Standard_AccelerometerZ,Deviazione_Standard_GyroscopeX,Deviazione_Standard_GyroscopeY,Deviazione_Standard_GyroscopeZ,Massima_Ampiezza_Pitch,Massima_Ampiezza_Roll,Massima_Ampiezza_AccelerometerX,Massima_Ampiezza_AccelerometerY,Massima_Ampiezza_AccelerometerZ,Massima_Ampiezza_GyroscopeX,Massima_Ampiezza_GyroscopeY,Massima_Ampiezza_GyroscopeZ,Minima_Ampiezza_Pitch,Minima_Ampiezza_Roll,Minima_Ampiezza_AccelerometerX,Minima_Ampiezza_AccelerometerY,Minima_Ampiezza_AccelerometerZ,Minima_Ampiezza_GyroscopeX,Minima_Ampiezza_GyroscopeY,Minima_Ampiezza_GyroscopeZ,Ampiezza_Media_Pitch,Ampiezza_Media_Roll,Ampiezza_Media_AccelerometerX,Ampiezza_Media_AccelerometerY,Ampiezza_Media_AccelerometerZ,Ampiezza_Media_GyroscopeX,Ampiezza_Media_GyroscopeY,Ampiezza_Media_GyroscopeZ,TF1,TF2,TF3,TF4,TF5,TF6,rappA/G1,rappA/G2,rappA/G3
10.451237256827177,7.409972310726177,3240.098991911657,4179.023761549818,2797.2054750856696,1744.779259187665,3421.0815400826787,2063.42405950564,34.56,-38.39,5754.0,-7532.0,10896.0,3076.0,5269.0,8693.0,-47.71,-87.48,-23892.0,-32768.0,-17876.0,-6862.0,-9988.0,-4004.0,-21.808550000000004,-64.58305,-6067.3,-14707.28,1539.45,-1168.505,-1254.075,313.43,-5743.999999999999,-14180.0,4740.0,-459.0,2150.0000000000005,-3974.0,5.1923611794558004,11.72759204991727,4.9116230099224705
6.044464511738682,7.191890773956638,1482.1250769481612,3163.3964859048538,2211.2368396226857,3685.522814480366,2943.040958838665,4511.294513388885,1.12,-48.68,362.0,-10258.0,7212.0,5375.0,4061.0,11180.0,-39.34,-86.08,-10744.0,-24026.0,-2490.0,-9581.0,-11429.0,-5340.0,-24.772650000000002,-62.0384,-6847.7,-14777.86,2685.03,-3113.895,-3716.995,1327.38,-7376.000000000001,-14360.000000000002,-527.9999999999997,1936.9999999999998,-3999.0,722.0000000000003,2.199078645875985,3.975754608225193,2.02280432129458
8.147727619823465,9.483518259082532,2346.0765597098703,3452.2295014313236,2226.070950911597,4024.1963166512824,2577.998202371786,5205.864527867831,-6.23,-40.18,-2282.0,-9794.0,7956.0,8706.0,6289.0,11893.0,-46.33,-83.81,-13914.0,-25170.0,-1904.0,-7113.0,-4478.0,-7850.0,-29.386400000000002,-57.54514999999999,-7914.11,-13831.39,2925.03,247.995,917.165,-243.43,-6328.0,-14512.000000000002,1324.0000000000007,535.0,-1864.0,1614.0,-31.912377265670678,-15.080590733401296,-12.015897794027032
9.173055938659092,10.831801451787914,2453.0505652715137,2967.7004036677367,2505.2156453183306,3053.4938381299357,1842.392027205271,4178.154201637766,-8.63,-36.08,-2084.0,-9502.0,7048.0,7756.0,5766.0,10437.0,-49.01,-80.91,-14458.0,-26360.0,-4444.0,-5091.0,-3030.0,-7625.0,-29.927349999999997,-57.70184999999999,-8188.36,-13875.55,2181.76,1299.56,532.3,1348.7,-2718.0,-17894.0,-936.0000000000003,88.00000000000028,4092.0000000000005,584.9999999999994,-6.300871064052449,-26.067161375164382,1.6176762808630534
8.200900823175328,8.263034457280876,2647.8039068719254,4184.718309342065,2416.5373702488123,3649.32290726753,2588.473606191446,4696.194754868378,9.37,-45.17,2008.0,-7040.0,8308.0,7039.0,6628.0,11146.0,-39.93,-85.59,-15690.0,-31822.0,-6626.0,-8283.0,-9232.0,-7533.0,-25.1234,-62.4725,-7090.72,-14942.91,1621.85,-104.37,-121.59,644.235,-9296.000000000002,-10352.000000000005,4436.0,-5288.0,-2293.0,-7533.0,67.9382964453387,122.89587959536145,2.51748197474524
9.292926396055904,10.785934759709217,2177.778178066885,3458.2697506471654,2362.6057369866453,2754.9083870621776,2948.333498707022,3954.6502376837398,-7.62,-37.49,-2360.0,-7996.0,7264.0,3771.0,8655.0,7515.0,-48.78,-81.73,-12896.0,-25266.0,-4390.0,-7466.0,-5468.0,-9846.0,-27.903450000000003,-59.33445,-7280.81,-13717.49,2114.53,-1045.3,664.85,-1466.99,-11351.999999999998,-14191.999999999998,5724.0,2396.0000000000005,234.00000000000088,7515.0,6.965282693963456,-20.63245844927427,-1.4414072352231442
9.445078115773597,10.224175840039146,2306.912351627268,3624.48749024392,2131.7539478963936,2867.3546416172553,3219.3347546367495,5610.269857481799,-3.02,-39.93,-828.0,-9378.0,7446.0,3963.0,7431.0,11398.0,-48.0,-86.74,-13848.0,-26432.0,-3072.0,-7685.0,-6965.0,-9145.0,-29.506700000000002,-57.25950000000001,-8073.93,-14117.47,3003.51,-475.32,217.67,-290.34,-6881.999999999999,-14185.999999999998,238.00000000000028,2536.0,344.0000000000007,1550.0,16.986303963645543,-64.85721505030551,-10.344802645174624
7.183869361634099,8.548726747593768,1858.5227891767827,1888.5950619814464,2299.6757395195245,2779.342976438567,1683.2762693538602,3848.633624675766,-0.75,-41.65,-174.0,-10434.0,7658.0,5183.0,3519.0,9525.0,-43.53,-88.04,-11820.0,-17988.0,-1818.0,-5592.0,-5077.0,-6602.0,-30.8733,-56.8808,-8390.63,-13662.78,2314.66,852.035,-234.105,1616.13,-173.9999999999965,-13211.999999999995,-427.99999999999955,-1206.0,-2200.0,4307.999999999999,-9.84775273316237,58.36176074838214,1.4322238928799043
9.614244210346484,8.584609939687587,2936.2889841759384,3145.603951341215,2148.8631734690457,1999.4892071281884,3422.6495737107107,2983.527887110464,13.76,-34.84,3108.0,-7824.0,5214.0,2109.0,10644.0,5615.0,-54.33,-84.79,-21404.0,-31700.0,-7990.0,-7633.0,-6586.0,-7129.0,-25.67665,-61.998850000000004,-7097.92,-14478.32,1552.08,-1307.855,-634.19,-737.49,-8687.999999999998,-10834.0,4205.999999999999,-3361.9999999999986,-139.99999999999977,-5502.0,5.42714597566244,22.829625191188757,-2.1045437904242768
9.699109484973738,9.986020524064386,2691.995868716356,3518.313032259185,2384.0173415948816,3530.2183148535782,3272.716871730973,4904.112756617971,-9.15,-40.0,-3584.0,-9720.0,9638.0,4439.0,6127.0,8696.0,-45.48,-78.48,-18024.0,-27472.0,-8014.0,-9324.0,-12101.0,-11200.0,-29.528850000000002,-56.50535,-8101.54,-13891.4,3292.22,-3165.965,-3608.19,479.745,-9825.999999999998,-13916.0,684.0000000000006,529.9999999999997,-5901.0,1336.9999999999993,2.5589480616494495,3.8499635551342917,6.862437336501682
