Deviazione_Standard_Pitch,Deviazione_Standard_Roll,Deviazione_Standard_AccelerometerX,Deviazione_Standard_AccelerometerY,Deviazione_Standard_AccelerometerZ,Deviazione_Standard_GyroscopeX,Deviazione_Standard_GyroscopeY,Deviazione_Standard_GyroscopeZ,Massima_Ampiezza_Pitch,Massima_Ampiezza_Roll,Massima_Ampiezza_AccelerometerX,Massima_Ampiezza_AccelerometerY,Massima_Ampiezza_AccelerometerZ,Massima_Ampiezza_GyroscopeX,Massima_Ampiezza_GyroscopeY,Massima_Ampiezza_GyroscopeZ,Minima_Ampiezza_Pitch,Minima_Ampiezza_Roll,Minima_Ampiezza_AccelerometerX,Minima_Ampiezza_AccelerometerY,Minima_Ampiezza_AccelerometerZ,Minima_Ampiezza_GyroscopeX,Minima_Ampiezza_GyroscopeY,Minima_Ampiezza_GyroscopeZ,Ampiezza_Media_Pitch,Ampiezza_Media_Roll,Ampiezza_Media_AccelerometerX,Ampiezza_Media_AccelerometerY,Ampiezza_Media_AccelerometerZ,Ampiezza_Media_GyroscopeX,Ampiezza_Media_GyroscopeY,Ampiezza_Media_GyroscopeZ,TF1,TF2,TF3,TF4,TF5,TF6,rappA/G1,rappA/G2,rappA/G3
11.31208062561446,7.930106454480733,3274.439709424082,2312.347054836287,2318.9646488927056,2729.113578844083,7192.31175965107,2246.574798672448,25.54,-51.72,9154.0,-10306.0,5738.0,6258.0,26941.0,3826.0,-33.21,-89.88,-8972.0,-26890.0,-8172.0,-7698.0,-577.0,-5477.0,-5.1076,-77.38975,-1389.08,-16354.95,198.68,1567.28,10786.315,-624.16,-313.9999999999998,-16576.0,-100.0,523.0000000000006,825.0000000000017,-98.00000000000028,-0.886299831555306,-1.516268531004333,-0.31831581645731866
9.01151002898585,7.190199008819725,3119.116859677048,1908.039727550123,2152.777440760479,4210.127182110742,8734.801546288285,2955.8346355876706,8.03,-50.72,2562.0,-13178.0,4078.0,7335.0,25969.0,2356.0,-38.06,-89.74,-18182.0,-25192.0,-4586.0,-10072.0,-6035.0,-7989.0,-5.42825,-79.35235,-1663.84,-16595.19,228.21,517.07,9841.665,-1539.845,-3508.0,-13256.0,1746.0,-3461.0,9745.000000000002,-2462.0,-3.2178235055214954,-1.6862177284026634,-0.14820322824699889
9.018098229442801,7.241079917342905,2569.22318737253,1331.9278948522053,1885.5658931170856,3512.65112980189,7604.285359593341,2899.2420981514233,32.28,-51.81,8274.0,-12262.0,6666.0,10156.0,24879.0,3571.0,-26.94,-89.62,-8638.0,-19968.0,-3978.0,-8003.0,-543.0,-7929.0,-4.16305,-80.20115,-1209.82,-16277.45,358.42,963.99,7276.155,-796.505,5386.0,-13231.999999999995,1158.0,2591.0,455.99999999999824,2322.0000000000005,-1.255013018807249,-2.2370950041608517,-0.44999089773447754
6.578374812472061,5.071310099780993,1961.6488640245082,992.172731709423,1350.5274308980324,2498.0933542268112,5159.979092815343,1148.3749097930568,6.77,-66.76,2198.0,-14278.0,2254.0,7021.0,22474.0,2760.0,-21.49,-89.69,-6878.0,-20798.0,-4518.0,-5157.0,-993.0,-4683.0,-4.461549999999999,-82.44945,-1280.16,-16578.29,-49.01,1066.16,5254.23,94.785,457.9999999999997,-15526.0,-1227.9999999999998,-5157.0,10992.0,398.0,-1.2007203421625272,-3.155227312089498,-0.5170649364350899
6.4445231390654305,4.929027524694499,1964.0069039322307,1068.2838152615384,1447.3189797156763,2336.404384011497,7846.292705185823,3226.1185784953045,25.63,-64.31,6688.0,-13246.0,3084.0,4679.0,24781.0,4189.0,-23.53,-88.29,-9308.0,-22332.0,-4660.0,-7245.0,-3377.0,-9570.0,-5.57845,-81.49835,-1662.87,-16542.04,38.61,-630.96,7406.675,-879.23,-1909.9999999999998,-14530.0,-97.99999999999986,4679.0,22908.0,-4912.999999999999,2.635460251046025,-2.2333962270519496,-0.043913424246215436
7.727576341783396,4.770519716901581,2265.4388949902564,856.554392397633,1919.649131230803,3756.311942159363,6769.856894667077,3828.6183919864993,14.64,-65.99,4192.0,-14674.0,4642.0,8816.0,22362.0,3679.0,-20.68,-87.82,-6628.0,-19652.0,-3924.0,-6067.0,-722.0,-10048.0,-4.85075,-79.62934999999999,-1402.6,-16376.4,543.63,349.485,8914.76,-992.15,714.0000000000005,-16819.999999999996,369.9999999999998,1975.0,1925.9999999999982,1033.0000000000002,-4.01333390560396,-1.836998416109912,-0.5479312603940937
5.728841072825152,4.883881571663071,1684.4716769814695,1593.8957345015738,1832.21581508984,3971.6340604751886,6938.262312246684,3684.318479347477,13.1,-67.92,3684.0,-10348.0,5980.0,9078.0,21602.0,6264.0,-19.93,-89.18,-6462.0,-23738.0,-4384.0,-8667.0,-817.0,-10225.0,-3.2507500000000005,-81.7473,-946.56,-16473.84,711.53,441.265,8584.145,-1623.105,-3367.9999999999995,-16118.000000000005,721.9999999999999,48.999999999999275,-431.9999999999971,557.0,-2.14510554881987,-1.9191008539580818,-0.4383758290437156
5.735614890170164,3.8408757428953377,1672.304825546987,634.285599322212,1080.385316524065,2266.1777241396876,7443.871892966353,3326.2115544451804,5.36,-70.95,1600.0,-14896.0,2982.0,7554.0,21986.0,1988.0,-19.04,-89.36,-5558.0,-17934.0,-2020.0,-1884.0,-1098.0,-9304.0,-3.8816499999999996,-83.06540000000001,-1108.74,-16481.36,339.9,1290.5,6681.43,-1307.04,-2669.9999999999986,-16399.999999999996,586.0000000000001,-220.00000000000014,11629.0,104.99999999999942,-0.8591553661371562,-2.4667414011671154,-0.2600532500918105
7.729661696816762,5.935680961768371,2247.529433371084,1524.2926262539818,1780.7388605710098,2002.3607911888537,5082.569409206036,1709.6063733088652,21.21,-55.47,5682.0,-12260.0,4710.0,2068.0,22057.0,5916.0,-25.14,-88.96,-7292.0,-27084.0,-6874.0,-6774.0,-646.0,-6298.0,-6.70345,-79.59075,-1949.17,-16435.36,222.07,-771.16,4959.64,311.41,-131.99999999999957,-16232.0,1836.0,319.00000000000006,22057.0,-6298.0,2.5275818247834434,-3.3138211644393545,0.7131113323271571
7.626130735172965,4.811651158579485,2270.953329932975,1250.0482151505216,1883.9287805410145,3539.363978348533,7305.662975564756,3749.9234210740356,24.73,-64.34,7654.0,-14184.0,3572.0,8819.0,23231.0,5124.0,-20.11,-88.68,-5618.0,-22548.0,-6404.0,-6361.0,-124.0,-9193.0,-4.2094000000000005,-80.22675,-1213.72,-16458.55,161.09,-20.775,9976.005,-1347.12,706.0000000000003,-17000.0,-330.0000000000003,2223.0,2628.0000000000014,280.00000000000074,58.422141997593265,-1.649813728040433,-0.11958103212779858
