Pitch,Roll,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-7.15, -70.01, -2216, -16742, 5686 , -493, 1436, -2419
-9.73, -67.96, -2902, -15918, 5768 , -391, 1670, -1907
-13.54, -63.27, -3868, -14760, 6358 , -447, 1813, -1658
-18.74, -58.06, -5148, -13598, 6746 , -707, 2023, -1659
-22.51, -53.97, -6126, -12940, 7156 , -1071, 2216, -1888
-23.83, -52.14, -7130, -13934, 8166 , -1559, 2082, -2582
-20.89, -55.60, -7512, -17384, 9252 , -2731, 1666, -3520
-17.13, -62.37, -6852, -20616, 8354 , -4307, 893, -4520
-11.13, -69.61, -4692, -22782, 7066 , -6021, -690, -5286
-5.07, -74.79, -2168, -23674, 6080 , -6630, -3366, -5266
0.49, -80.37, 202, -23300, 3966 , -6463, -4339, -4495
3.77, -84.30, 1446, -21868, 1656 , -5631, -3160, -3379
4.67, -84.41, 1642, -20074, 1106 , -4768, -801, -2052
1.32, -84.04, 426, -18470, 1896 , -3872, -41, -516
-3.33, -81.42, -1022, -17382, 2430 , -2880, -417, 523
-8.51, -78.05, -2440, -16136, 2408 , -2231, -977, 1143
-11.71, -75.02, -3210, -15282, 2552 , -1976, -1262, 1277
-10.16, -74.16, -2620, -14288, 3108 , -2290, -1211, 941
-5.37, -73.68, -1304, -13370, 3702 , -3129, -804, 392
5.14, -72.58, 1192, -12706, 3814 , -4131, -277, -172
11.18, -69.73, 2590, -12538, 3848 , -5104, 517, -499
11.50, -70.39, 2734, -12918, 3714 , -5619, 1323, -1001
8.89, -75.40, 2192, -13724, 2836 , -5636, 2103, -1653
4.96, -82.24, 1304, -14950, 1580 , -5214, 3032, -2391
2.86, -86.58, 806, -16126, 552 , -4793, 4758, -2875
-0.82, -89.23, -240, -16796, -14 , -4600, 6230, -3154
-5.14, -84.56, -1542, -17140, -576 , -4605, 7087, -3295
-9.53, -79.62, -2892, -17188, -1276 , -4659, 7153, -3330
-13.37, -74.69, -4054, -16920, -2266 , -4614, 6623, -3364
-15.60, -72.19, -4698, -16640, -2572 , -4405, 5744, -3407
-16.31, -71.95, -4778, -16178, -2254 , -4233, 4554, -3467
-14.52, -74.53, -4088, -15718, -1520 , -4175, 3628, -3514
-12.81, -77.03, -3492, -15348, -616 , -4231, 2595, -3551
-10.64, -79.40, -2846, -15158, 78 , -4333, 1811, -3585
-8.58, -81.14, -2298, -15226, 642 , -4510, 975, -3594
-7.42, -81.54, -1998, -15314, 1118 , -4722, 29, -3621
-6.98, -81.51, -1900, -15462, 1328 , -4893, -477, -3680
-7.33, -81.26, -2032, -15754, 1340 , -4966, -709, -3781
-6.78, -82.34, -1912, -16048, 1028 , -4965, -832, -3815
-6.53, -83.20, -1854, -16188, 584 , -4931, -892, -3834
-5.34, -84.70, -1526, -16326, 52 , -4842, -965, -3809
-3.31, -86.71, -950, -16416, -100 , -4721, -1091, -3729
-1.16, -88.89, -332, -16456, 6 , -4672, -972, -3620
0.47, -89.47, 132, -16266, 94 , -4625, -726, -3497
2.37, -87.57, 670, -16210, 202 , -4554, -417, -3387
3.59, -86.29, 1018, -16212, 306 , -4365, -26, -3322
4.64, -84.87, 1308, -16118, 648 , -4190, 502, -3242
4.90, -84.39, 1382, -16120, 798 , -4079, 1274, -3197
4.75, -84.86, 1328, -15978, 578 , -3964, 2004, -3122
5.07, -84.84, 1418, -15990, 336 , -3800, 2717, -3062
5.07, -84.97, 1422, -16048, 74 , -3734, 3556, -3003
4.51, -85.43, 1274, -16148, -268 , -3676, 4174, -2940
3.40, -86.37, 972, -16374, -400 , -3654, 4678, -2873
1.84, -87.54, 530, -16466, -488 , -3680, 5099, -2902
0.03, -88.64, 8, -16604, -408 , -3686, 5445, -2918
-1.68, -88.35, -490, -16674, -48 , -3675, 5617, -2931
-3.65, -86.38, -1064, -16696, -110 , -3686, 5681, -2981
-5.58, -84.34, -1624, -16638, -344 , -3573, 5624, -3053
-6.47, -83.24, -1886, -16640, -620 , -3288, 5322, -3053
-7.49, -82.20, -2176, -16550, -678 , -2910, 4994, -2987
-7.89, -81.68, -2274, -16388, -792 , -2501, 4658, -2933
-8.17, -81.62, -2314, -16112, -574 , -2186, 4239, -2858
-8.34, -81.66, -2316, -15800, -234 , -2033, 3875, -2803
-8.39, -81.62, -2298, -15584, -204 , -2053, 3547, -2722
-8.63, -81.41, -2362, -15566, -90 , -2232, 3239, -2707
-8.41, -81.64, -2306, -15610, 4 , -2498, 3003, -2724
-8.37, -81.68, -2308, -15704, -16 , -2845, 2725, -2769
-8.17, -81.87, -2264, -15770, 32 , -3102, 2378, -2830
-8.03, -81.97, -2236, -15866, 238 , -3285, 2020, -2853
-7.36, -82.47, -2054, -15898, 498 , -3483, 1684, -2882
-7.17, -82.41, -2016, -16026, 742 , -3680, 1514, -2917
-6.75, -82.90, -1902, -16062, 656 , -3843, 1374, -2937
-6.15, -83.58, -1754, -16274, 564 , -3872, 1215, -2977
-5.16, -84.69, -1482, -16430, 422 , -3791, 1037, -3015
-4.56, -85.08, -1306, -16374, 562 , -3643, 1040, -3009
-3.76, -85.73, -1072, -16316, 604 , -3547, 1172, -3007
-3.39, -85.74, -958, -16186, 754 , -3507, 1378, -2960
-3.09, -85.84, -870, -16106, 804 , -3559, 1652, -2938
-2.67, -85.68, -748, -16002, 964 , -3645, 1909, -2928
-2.77, -86.13, -768, -15862, 768 , -3767, 2213, -2930
-2.92, -86.53, -816, -15992, 544 , -3788, 2533, -2960
-3.33, -86.53, -936, -16086, 318 , -3701, 2793, -2994
-3.55, -86.49, -1002, -16156, 32 , -3547, 2881, -3043
-3.96, -86.06, -1116, -16146, -148 , -3377, 2967, -3064
-3.95, -86.07, -1110, -16094, -128 , -3234, 3055, -3074
-4.07, -85.95, -1138, -16014, -146 , -3049, 3157, -3010
-4.28, -85.76, -1204, -16104, 50 , -2870, 3283, -2944
-5.10, -84.57, -1446, -16186, 560 , -2737, 3327, -2879
-5.18, -83.74, -1482, -16312, 1024 , -2649, 3333, -2834
-5.54, -82.81, -1590, -16340, 1332 , -2654, 3368, -2769
-5.95, -82.17, -1722, -16472, 1490 , -2793, 3520, -2718
